variant,status,n_features,roc_auc,balanced_acc,f1,r2,mae,rmse,policy_name,policy_drop_no_news_days,policy_min_ticker_coverage_pct
price_only,ok,6,0.5093510230179028,0.5191815856777494,0.6285714285714286,-0.012813636568816733,0.009595766058413974,0.01472739301440211,A,False,
price_plus_vader,ok,10,0.5280530690537085,0.5242966751918159,0.6096654275092936,-0.060860011691345584,0.009754724889155847,0.015072668449244446,A,False,
price_plus_finbert,ok,12,0.5120684143222506,0.48929028132992325,0.5525291828793775,-0.040196357429377993,0.009782180403050586,0.014925152277131669,A,False,
