variant,status,n_features,roc_auc,balanced_acc,f1,r2,mae,rmse,policy_name,policy_drop_no_news_days,policy_min_ticker_coverage_pct
price_only,ok,6,0.5061728395061729,0.5042087542087542,0.5319148936170213,-0.024446272150591808,0.011271756663401567,0.018295333368891137,B,True,
price_plus_vader,ok,10,0.5095398428731762,0.49158249158249157,0.4888888888888889,-0.10317088056977619,0.01176571528696362,0.01898528535010243,B,True,
price_plus_finbert,ok,12,0.5359147025813693,0.5193602693602694,0.5376344086021505,-0.07081833440089214,0.011701622804294867,0.018704824314770295,B,True,
