run_id,ticker,n_price_days,n_news_days,coverage_pct,missing_days_count,first_price_day,last_price_day,missing_days_sample
model_v2_core3_1y_vader_finbert_guardian,AZN.L,253,72,28.46,181,2024-11-01,2025-10-31,2024-11-01;2024-11-04;2024-11-05;2024-11-07;2024-11-08;2024-11-14;2024-11-18;2024-11-21;2024-11-22;2024-11-25;2024-11-26;2024-11-27;2024-11-29;2024-12-02;2024-12-03
model_v2_core3_1y_vader_finbert_guardian,HSBA.L,253,108,42.69,145,2024-11-01,2025-10-31,2024-11-04;2024-11-05;2024-11-07;2024-11-08;2024-11-11;2024-11-12;2024-11-13;2024-11-14;2024-11-18;2024-11-21;2024-11-22;2024-11-25;2024-11-26;2024-11-27;2024-11-28
model_v2_core3_1y_vader_finbert_guardian,BP.L,253,109,43.08,144,2024-11-01,2025-10-31,2024-11-01;2024-11-05;2024-11-06;2024-11-07;2024-11-08;2024-11-11;2024-11-14;2024-11-18;2024-11-25;2024-11-27;2024-11-29;2024-12-02;2024-12-03;2024-12-05;2024-12-06
